Customer_ID,Age,Gender,Region,Annual_Income,Years_as_Customer,Email_Opt_In,Promotion_Response,Num_Campaigns_Received,Num_Campaigns_Clicked,Website_Visits_Per_Month,App_Usage_Hours_Month,Social_Media_Engagement_Score,Total_Spend,Num_Purchases_Last_Year,Avg_Order_Value,Discount_Usage_Rate,Customer_Satisfaction_Score,Support_Tickets_Raised,Loyalty_Program_Member,Preferred_Channel,Last_Purchase_Days_Ago,Target_Churn
CUST10918,33,Male,West,66561.77,1.9,Yes,Ignored,12,4,6,0.2,35.4,1148.78,6,191.46,0.231,8.8,2,No,Mobile App,121,No
CUST10615,40,Female,South,44416.59,3.4,no,Ignored,10,3,9,3.8,4.4,540.02,8,67.5,0.101,4,1,Yes,Online,29,No
CUST10947,30,Female,North,73895.83,2.1,No,Responded,4,1,10,6.7,43,600.96,10,60.1,0.06,8.8,0,No,Online,159,Yes
CUST10063,24,Female,East,,0.9,No,Ignored,5,3,5,6.6,94.5,917.69,7,131.1,0.28,5.3,3,Yes,Online,120,Yes
CUST10351,56,Female,South,95160.43,4.8,No,Ignored,9,5,13,0.4,47.6,395.55,7,56.51,,6.7,1,Yes,In-Store,5,No
CUST10053,45,Male,Central,43475.26,0.3,No,Ignored,7,1,8,4.2,59,1231.23,4,307.81,0.26,8.5,1,Yes,Online,64,Yes
CUST10781,22,Male,South,44284.79,0.4,Yes,Ignored,6,3,6,7.9,31,615.8,10,61.58,0.22,7.6,2,Yes,Online,40,No
CUST11013,30,Female,West,16237.91,2.6,Yes,Ignored,3,2,7,3,30.5,708.85,8,88.61,0.138,3.8,1,Yes,Online,28,Yes
CUST10266,58,Male,East,34367.26,10.3,No,Ignored,7,5,5,0.9,65.6,1076.76,9,119.64,0.087,8.8,2,Yes,Online,29,No
CUST11060,47,Female,North,17240.24,9.5,Yes,Ignored,4,1,6,0.6,17.7,1367.29,7,195.33,0.345,6.9,2,No,Mobile App,11,No
CUST10565,33,Female,North,95865.38,2.7,No,Ignored,8,3,7,4.9,51.9,1373.78,6,228.96,0.36,7.1,0,Yes,Mobile App,41,Yes
CUST10272,52,Male,South,38119.01,5.8,Yes,Ignored,5,2,9,0.9,24.7,714.87,11,64.99,0.464,6.2,1,No,Mobile App,120,Yes
CUST10689,43,Male,East,63480.7,10.2,Yes,Unsubscribed,8,3,6,7.8,77.3,1342.72,10,134.27,0.329,,2,Yes,Online,283,Yes
CUST11127,29,Male,South,58574.44,0,Yes,Unsubscribed,4,0,9,0.9,76.4,1049.28,12,87.44,0.116,9,0,Yes,Online,43,No
CUST10908,46,Male,South,48929.86,3,No,Ignored,3,1,9,,14.6,524.44,8,65.56,0.313,5.8,4,No,In-Store,41,Yes
